what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.editor",1389418872917
activated,editor,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.editor",1389418873035
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1389418878301
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1389418886360
activated,view,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.ServersView",1389418887012
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1389418887752
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1389418892973
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1389418897062
activated,editor,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1389418902252
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1389418911823
activated,view,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.ServersView",1389418915045
executed,command,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.debug",1389418916479
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1389418917551
activated,view,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.ServersView",1389418919337
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1389418920891
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1389418950787
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1389418979828
activated,view,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.ServersView",1389418979844
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1389418981286
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1389418986852
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1389418987598
activated,view,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.ServersView",1389418988686
activated,editor,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.editor",1389418989351
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1389418991155
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1389419003480
activated,view,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.ServersView",1389419004203
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1389419005105
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1389419011195
opened,view,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.DebugView",1389419017274
opened,view,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.VariableView",1389419017797
activated,perspective,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.DebugPerspective",1389419017923
activated,view,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.DebugView",1389419017937
opened,view,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.BreakpointView",1389419019657
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.Resume",1389419022861
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1389419025085
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1389419025151
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1389419026167
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1389419033237
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1389419035259
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1389419102485
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1389419104643
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1389419131424
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1389419131926
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1389419134059
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1389419134340
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1389419514419
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1389419516231
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1389419693193
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1389419694333
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1389419716987
activated,view,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.VariableView",1389419719917
activated,perspective,org.eclipse.jst.j2ee.ui,1.1.301.v201001252130,"org.eclipse.jst.j2ee.J2EEPerspective",1389419721502
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1389419721550
